HOST,ID,NAME
collider.com,IAB1,Arts & Entertainment
comicvine.com,IAB1,Arts & Entertainment
complex.com,IAB1,Arts & Entertainment
complex.com,IAB8,Food & Drink
complex.com,IAB17,Sports
complex.com,IAB18,Style & Fashion
complex.com,IAB19,Technology & Computing
cookingchanneltv.com,IAB8,Food & Drink
cookinglight.com,IAB8,Food & Drink
coreaudience.com,IAB12,News
cosmopolitan.co.uk,IAB18,Style & Fashion
cosmopolitan.com,IAB1,Arts & Entertainment
cosmopolitan.com.au,IAB18,Style & Fashion
cosmopolitan.comcosmo-latina,IAB1,Arts & Entertainment
countryliving.com,IAB1,Arts & Entertainment
cracked.com,IAB1,Arts & Entertainment
cruisingworld.com,IAB20,Travel
csnbayarea.com,IAB17,Sports
csnchicago.com,IAB17,Sports
csnmidatlantic.com,IAB17,Sports
csnne.com,IAB17,Sports
csnnw.com,IAB17,Sports
csnphilly.com,IAB17,Sports
ctpost.com,IAB12,News
curbed.com,IAB10,Home & Garden
dailydot.com,IAB12,News
dailymail.co.uk,IAB1,Arts & Entertainment
dailymail.co.ukushomeindex.html,IAB1,Arts & Entertainment
dailymakeover.com,IAB18,Style & Fashion
dailypuppy.com,IAB6,Family & Parenting
dailystar.co.uk,IAB1,Arts & Entertainment
danoah.com,IAB6,Family & Parenting
deadline.com,IAB1,Arts & Entertainment
deadspin.com,IAB17,Sports
deathandtaxesmag.com,IAB3,Business
decider.com,IAB1,Arts & Entertainment
delish.com,IAB1,Arts & Entertainment
depor.pe,IAB17,Sports
diabeticlivingonline.com,IAB7,Health & Fitness
diffuser.fm,IAB1,Arts & Entertainment
digitalspy.co.uk,IAB1,Arts & Entertainment
dirtrider.com,IAB2,Automotive
divinecaroline.com,IAB18,Style & Fashion
diynetwork.com,IAB10,Home & Garden
dose.com,IAB1,Arts & Entertainment
download.cnet.commac,IAB19,Technology & Computing
drphil.com,IAB7,Health & Fitness
eater.com,IAB8,Food & Drink
eatingwell.com,IAB8,Food & Drink
eatthis.com,IAB8,Food & Drink
economist.com,IAB12,News
edition.cnn.com,IAB12,News
egotastic.com,IAB1,Arts & Entertainment
ehow.com,IAB10,Home & Garden
ehowenespanol.com,IAB10,Home & Garden
elclasificado.com,IAB3,Business
elcomercio.pe,IAB12,News
elitedaily.com,IAB7,Health & Fitness
elle.com,IAB1,Arts & Entertainment
elle.com.au,IAB10,Home & Garden
elledecor.com,IAB10,Home & Garden
elleuk.com,IAB1,Arts & Entertainment
elmundo.com,IAB12,News
elmundo.es,IAB12,News
empireonline.com,IAB1,Arts & Entertainment
